,implementation,problem.target_path,problem.mutant_op,problem.occurrence,mutant_killed,id,
586,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,9,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_9_4dd41430,
188,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,10,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_10_536a6b82,
637,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,10,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_10_6c5e9c7,
39,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,11,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_11_575de790,
600,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,11,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_11_30be9590,
92,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_RShift,3,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_RShift_3_e425af54,
376,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_RShift,3,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_RShift_3_2e83ef6,
122,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_RShift,5,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_RShift_5_35a29473,
652,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_RShift,5,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_RShift_5_2912848d,
229,loop,generation.py,core/NumberReplacer,10,True,string_utils_generation.py_core/NumberReplacer_10_1cb038db,normal
481,baseline,generation.py,core/NumberReplacer,10,False,baseline_string_utils_generation.py_core/NumberReplacer_10_46cff2a9,LLM first fails to import correcly. Then messes up the test by adding unnecessary calls to the target function that throw exceptions for both versions.
289,loop,generation.py,core/ReplaceBinaryOperator_Add_LShift,1,True,string_utils_generation.py_core/ReplaceBinaryOperator_Add_LShift_1_63676921,
578,baseline,generation.py,core/ReplaceBinaryOperator_Add_LShift,1,False,baseline_string_utils_generation.py_core/ReplaceBinaryOperator_Add_LShift_1_7f7460f9,
183,loop,generation.py,core/ReplaceComparisonOperator_Lt_Eq,5,True,string_utils_generation.py_core/ReplaceComparisonOperator_Lt_Eq_5_92a6f459,
436,baseline,generation.py,core/ReplaceComparisonOperator_Lt_Eq,5,False,baseline_string_utils_generation.py_core/ReplaceComparisonOperator_Lt_Eq_5_61d18570,
268,loop,generation.py,core/ReplaceFalseWithTrue,0,True,string_utils_generation.py_core/ReplaceFalseWithTrue_0_7c4131e,
621,baseline,generation.py,core/ReplaceFalseWithTrue,0,False,baseline_string_utils_generation.py_core/ReplaceFalseWithTrue_0_51b63f60,
313,loop,manipulation.py,core/NumberReplacer,7,True,string_utils_manipulation.py_core/NumberReplacer_7_5aa4374a,
447,baseline,manipulation.py,core/NumberReplacer,7,False,baseline_string_utils_manipulation.py_core/NumberReplacer_7_76ddc71,
62,loop,manipulation.py,core/NumberReplacer,96,True,string_utils_manipulation.py_core/NumberReplacer_96_90cba68a,
598,baseline,manipulation.py,core/NumberReplacer,96,False,baseline_string_utils_manipulation.py_core/NumberReplacer_96_7ffde67,
222,loop,manipulation.py,core/ReplaceFalseWithTrue,0,True,string_utils_manipulation.py_core/ReplaceFalseWithTrue_0_268a46de,
500,baseline,manipulation.py,core/ReplaceFalseWithTrue,0,False,baseline_string_utils_manipulation.py_core/ReplaceFalseWithTrue_0_3e268d4,
7,loop,manipulation.py,core/ReplaceUnaryOperator_Delete_Not,16,True,string_utils_manipulation.py_core/ReplaceUnaryOperator_Delete_Not_16_e5969b1f,
404,baseline,manipulation.py,core/ReplaceUnaryOperator_Delete_Not,16,False,baseline_string_utils_manipulation.py_core/ReplaceUnaryOperator_Delete_Not_16_8fc457c,
128,loop,validation.py,core/ReplaceComparisonOperator_Eq_GtE,3,True,string_utils_validation.py_core/ReplaceComparisonOperator_Eq_GtE_3_8a487c31,
396,baseline,validation.py,core/ReplaceComparisonOperator_Eq_GtE,3,False,baseline_string_utils_validation.py_core/ReplaceComparisonOperator_Eq_GtE_3_f1d1d291,
190,loop,validation.py,core/ReplaceComparisonOperator_IsNot_Is,4,True,string_utils_validation.py_core/ReplaceComparisonOperator_IsNot_Is_4_5ac6f6a7,
564,baseline,validation.py,core/ReplaceComparisonOperator_IsNot_Is,4,False,baseline_string_utils_validation.py_core/ReplaceComparisonOperator_IsNot_Is_4_b996a6b9,
112,loop,validation.py,core/ReplaceFalseWithTrue,8,True,string_utils_validation.py_core/ReplaceFalseWithTrue_8_bebe5e26,
587,baseline,validation.py,core/ReplaceFalseWithTrue,8,False,baseline_string_utils_validation.py_core/ReplaceFalseWithTrue_8_9cc903e,
194,loop,validation.py,core/ReplaceFalseWithTrue,14,True,string_utils_validation.py_core/ReplaceFalseWithTrue_14_2eb7c49,
528,baseline,validation.py,core/ReplaceFalseWithTrue,14,False,baseline_string_utils_validation.py_core/ReplaceFalseWithTrue_14_97efbcc,
