,implementation,problem.target_path,problem.mutant_op,problem.occurrence,mutant_killed,id,
91,loop,manipulation.py,core/ReplaceBinaryOperator_Add_Mod,9,False,string_utils_manipulation.py_core/ReplaceBinaryOperator_Add_Mod_9_6af21fd3,"LLM tries experiments with various inputs without even importing the mutant, instead trying to a regex to match, so the mutated function is called. It then tries one test with the mutant, then declares it equivalent."
427,baseline,manipulation.py,core/ReplaceBinaryOperator_Add_Mod,9,True,baseline_string_utils_manipulation.py_core/ReplaceBinaryOperator_Add_Mod_9_bb8f4f73,LLM bypasses the regex by importing a private class directly. Then kill the mutant. Even uses mocking to do so!
138,loop,validation.py,core/NumberReplacer,31,False,string_utils_validation.py_core/NumberReplacer_31_51b2b66,"The mutant changes the allowed email address length in a ""is_email()"" function. The LLM fails to create a valid email address that fails the length check."
571,baseline,validation.py,core/NumberReplacer,31,True,baseline_string_utils_validation.py_core/NumberReplacer_31_44bed5ce,LLM doesn't tries a couple of tests until it finds the right email address to detect the mutant.
69,loop,validation.py,core/ReplaceAndWithOr,3,False,string_utils_validation.py_core/ReplaceAndWithOr_3_92c949e,"Killing the mutant requires passing an optional parameter to the target function. The LLM tries good inputs, but never passes the optional parameter."
593,baseline,validation.py,core/ReplaceAndWithOr,3,True,baseline_string_utils_validation.py_core/ReplaceAndWithOr_3_165022f7,"LLM uses wrong imports for the first test, then finds a working test right away by passing the optional parameter."
308,loop,validation.py,core/ReplaceBinaryOperator_Mod_FloorDiv,0,False,string_utils_validation.py_core/ReplaceBinaryOperator_Mod_FloorDiv_0_87f5b624,"The mutant changes the ""is_isbn_13()"" function, but the LLM only tests the ""is_isbn_10()"" function. The LLM also omits all imports in exactly every 2nd experiment, leading to a lot of failures."
537,baseline,validation.py,core/ReplaceBinaryOperator_Mod_FloorDiv,0,True,baseline_string_utils_validation.py_core/ReplaceBinaryOperator_Mod_FloorDiv_0_67958e5,"LLM uses wrong imports for the first test, then finds a working test right away."
310,loop,validation.py,core/ReplaceComparisonOperator_Gt_Eq,2,False,string_utils_validation.py_core/ReplaceComparisonOperator_Gt_Eq_2_2122f,"LLM tries a couple of inputs, then declares the mutant as equivalent."
368,baseline,validation.py,core/ReplaceComparisonOperator_Gt_Eq,2,True,baseline_string_utils_validation.py_core/ReplaceComparisonOperator_Gt_Eq_2_93b9339,"LLM uses wrong imports for the first test, then finds a working test right away."
202,loop,validation.py,core/ReplaceFalseWithTrue,10,False,string_utils_validation.py_core/ReplaceFalseWithTrue_10_403b943f,"Killing the mutant requires omitting an optional parameter when calling the target function. The LLM tries good inputs, but never omits the optional parameter."
595,baseline,validation.py,core/ReplaceFalseWithTrue,10,True,baseline_string_utils_validation.py_core/ReplaceFalseWithTrue_10_cea2551c,"LLM uses wrong imports for the first test, then finds a working test right away."
36,loop,validation.py,core/ReplaceOrWithAnd,4,False,string_utils_validation.py_core/ReplaceOrWithAnd_4_baab1697,"LLM detects the mutant in the first experiment, but confuses itself by using very strange verifying expressions, then claims the mutant is equivalent."
634,baseline,validation.py,core/ReplaceOrWithAnd,4,True,baseline_string_utils_validation.py_core/ReplaceOrWithAnd_4_2132c492,"LLM uses wrong imports for the first test, then finds a working test right away."
260,loop,validation.py,core/ReplaceTrueWithFalse,6,False,string_utils_validation.py_core/ReplaceTrueWithFalse_6_e020f0b4,
644,baseline,validation.py,core/ReplaceTrueWithFalse,6,True,baseline_string_utils_validation.py_core/ReplaceTrueWithFalse_6_12becf51,
